"date","close","volume","open","high","low"
"2016/03/24","103.3200","2173069.0000","102.7600","103.3300","102.5300"
"2016/03/23","103.3500","6082337.0000","104.0400","104.0400","103.2800"
"2016/03/22","104.2000","1962647.0000","103.7500","104.5200","103.6100"
"2016/03/21","104.2300","2539316.0000","103.9800","104.3600","103.8000"
"2016/03/18","104.1300","2942590.0000","103.9500","104.2800","103.8000"
"2016/03/17","103.6700","3472397.0000","102.8700","103.9200","102.6000"
"2016/03/16","102.8800","3473577.0000","101.9900","103.0900","101.9101"
"2016/03/15","102.2400","2992775.0000","102.0000","102.2600","101.7600"
"2016/03/14","103.0700","2987138.0000","102.8800","103.3200","102.6900"
"2016/03/11","103.1900","3253498.0000","102.3700","103.2400","102.3300"
"2016/03/10","101.4700","3702567.0000","101.8000","102.3000","100.4000"
"2016/03/09","101.5000","2132002.0000","101.5000","101.7000","100.9800"
"2016/03/08","101.0100","3435687.0000","101.7300","101.8000","100.9100"
"2016/03/07","102.2800","2964056.0000","101.6500","102.5563","101.5600"
"2016/03/04","102.0700","2442357.0000","101.8900","102.6000","101.4000"
"2016/03/03","101.7200","2703609.0000","101.1300","101.7500","100.8500"
"2016/03/02","101.2200","3591720.0000","100.5200","101.2400","100.2560"
"2016/03/01","100.6600","2955735.0000","99.1300","100.6750","98.8400"
"2016/02/29","98.3200","2749373.0000","99.1200","99.6901","98.3200"
"2016/02/26","99.1100","3194356.0000","99.6700","99.7600","98.9600"
"2016/02/25","99.1900","4960895.0000","98.2700","99.1900","97.8200"
"2016/02/24","98.0300","3253220.0000","96.5800","98.1400","95.9900"
"2016/02/23","97.5300","3203916.0000","98.3800","98.5200","97.4700"
"2016/02/22","98.7200","2235380.0000","98.2400","98.8000","98.1100"
"2016/02/19","97.3000","2243696.0000","96.8500","97.3600","96.4301"
"2016/02/18","97.2800","2432103.0000","97.9000","97.9200","97.0900"
"2016/02/17","97.6700","3634955.0000","96.7700","97.9300","96.5900"
"2016/02/16","96.0800","3576177.0000","95.6200","96.0900","94.9600"
"2016/02/12","94.3600","2947964.0000","93.4700","94.3800","93.0100"
"2016/02/11","92.5600","7239222.0000","92.3900","93.0623","91.5800"
"2016/02/10","93.7200","3572814.0000","94.1900","95.2700","93.6248"
"2016/02/09","93.6600","4793968.0000","92.8400","94.4700","92.7000"
"2016/02/08","93.7800","6303798.0000","94.2000","94.3800","92.5000"
"2016/02/05","95.2600","3993449.0000","96.9400","96.9999","94.9500"
"2016/02/04","97.2600","3431851.0000","96.7900","97.9200","96.4700"
"2016/02/03","97.0300","5457594.0000","97.0900","97.2889","94.8900"
"2016/02/02","96.4500","3277520.0000","97.5000","97.5500","96.1600"
"2016/02/01","98.3500","3868985.0000","97.7500","98.8100","97.3700"
"2016/01/29","98.3300","5004793.0000","96.4500","98.3600","96.3527"
"2016/01/28","95.9500","4540658.0000","96.5600","96.6600","95.0500"
"2016/01/27","95.5700","5202433.0000","96.4000","97.3200","95.0500"
"2016/01/26","96.6700","3333211.0000","95.6000","96.8200","95.4400"
"2016/01/25","95.2200","4470403.0000","96.6400","96.6500","95.1100"
"2016/01/22","96.8100","3701444.0000","96.3300","96.8900","95.9500"
"2016/01/21","94.7900","7166951.0000","94.7000","95.9641","93.8200"
"2016/01/20","94.4200","13845330.0000","94.0000","95.2700","91.7900"
"2016/01/19","95.3600","7432640.0000","96.5700","96.6700","94.5000"
